时间,PID,CPU(%),MEM(%)
2024-05-05 17:30:29,8511, 2.7, 0.6
2024-05-05 17:30:29,8516, 2.6, 0.4
2024-05-05 17:30:29,8530, 2.5, 0.5
2024-05-05 17:30:29,8541, 2.5, 0.5
2024-05-05 17:30:29,8549, 2.5, 0.5
2024-05-05 17:30:29,8557, 2.6, 0.5
2024-05-05 17:30:29,33315, 2.9, 1.5
2024-05-05 17:30:29,8498, 2.3, 0.3
2024-05-05 17:30:29,8511, 2.7, 0.6
2024-05-05 17:30:29,8516, 2.6, 0.4
2024-05-05 17:30:29,8530, 2.5, 0.5
2024-05-05 17:30:29,8541, 2.5, 0.5
2024-05-05 17:30:29,8549, 2.5, 0.5
2024-05-05 17:30:29,8557, 2.6, 0.5
2024-05-05 17:30:30,33315, 2.9, 3.1
2024-05-05 17:30:30,8498, 2.3, 0.3
2024-05-05 17:30:30,8511, 2.7, 0.6
2024-05-05 17:30:30,8516, 2.6, 0.4
2024-05-05 17:30:30,8530, 2.5, 0.5
2024-05-05 17:30:30,8541, 2.5, 0.5
2024-05-05 17:30:30,8549, 2.5, 0.5
2024-05-05 17:30:30,8557, 2.6, 0.5
2024-05-05 17:30:30,33315, 2.9, 3.1
2024-05-05 17:30:30,8498, 2.3, 0.3
2024-05-05 17:30:30,8511, 2.7, 0.6
2024-05-05 17:30:30,8516, 2.6, 0.4
2024-05-05 17:30:30,8530, 2.5, 0.5
2024-05-05 17:30:30,8541, 2.5, 0.5
2024-05-05 17:30:30,8549, 2.5, 0.5
2024-05-05 17:30:30,8557, 2.6, 0.5
2024-05-05 17:30:30,33315, 2.9, 3.1
2024-05-05 17:30:30,8498, 2.3, 0.3
2024-05-05 17:30:30,8511, 2.7, 0.6
2024-05-05 17:30:30,8516, 2.6, 0.4
2024-05-05 17:30:30,8530, 2.5, 0.5
2024-05-05 17:30:30,8541, 2.5, 0.5
2024-05-05 17:30:30,8549, 2.5, 0.5
2024-05-05 17:30:30,8557, 2.6, 0.5
2024-05-05 17:30:30,33315, 3.0, 4.7
2024-05-05 17:30:30,8498, 2.3, 0.3
2024-05-05 17:30:30,8511, 2.7, 0.6
2024-05-05 17:30:30,8516, 2.6, 0.4
2024-05-05 17:30:30,8530, 2.5, 0.5
2024-05-05 17:30:30,8541, 2.5, 0.5
2024-05-05 17:30:30,8549, 2.5, 0.5
2024-05-05 17:30:30,8557, 2.6, 0.5
2024-05-05 17:30:31,33315, 3.0, 4.7
2024-05-05 17:30:31,8498, 2.3, 0.3
2024-05-05 17:30:31,8511, 2.7, 0.6
2024-05-05 17:30:31,8516, 2.6, 0.4
2024-05-05 17:30:31,8530, 2.5, 0.5
2024-05-05 17:30:31,8541, 2.5, 0.5
2024-05-05 17:30:31,8549, 2.5, 0.5
2024-05-05 17:30:31,8557, 2.6, 0.5
2024-05-05 17:30:31,33315, 3.0, 4.7
2024-05-05 17:30:31,8498, 2.3, 0.3
2024-05-05 17:30:31,8511, 2.7, 0.6
2024-05-05 17:30:31,8516, 2.6, 0.4
2024-05-05 17:30:31,8530, 2.5, 0.5
2024-05-05 17:30:31,8541, 2.5, 0.5
2024-05-05 17:30:31,8549, 2.5, 0.5
2024-05-05 17:30:31,8557, 2.6, 0.5
2024-05-05 17:30:31,33315, 3.0, 4.7
2024-05-05 17:30:31,8498, 2.2, 0.3
2024-05-05 17:30:31,8511, 2.7, 0.6
2024-05-05 17:30:31,8516, 2.6, 0.4
2024-05-05 17:30:31,8530, 2.5, 0.5
2024-05-05 17:30:31,8541, 2.5, 0.5
2024-05-05 17:30:31,8549, 2.5, 0.5
2024-05-05 17:30:31,8557, 2.6, 0.5
2024-05-05 17:30:31,33315, 3.0, 4.7
2024-05-05 17:30:31,8498, 2.2, 0.3
2024-05-05 17:30:31,8511, 2.7, 0.6
2024-05-05 17:30:31,8516, 2.6, 0.4
2024-05-05 17:30:31,8530, 2.5, 0.5
2024-05-05 17:30:31,8541, 2.5, 0.5
2024-05-05 17:30:31,8549, 2.5, 0.5
2024-05-05 17:30:31,8557, 2.6, 0.5
2024-05-05 17:30:32,33315, 3.0, 4.7
2024-05-05 17:30:32,8498, 2.2, 0.3
2024-05-05 17:30:32,8511, 2.7, 0.6
2024-05-05 17:30:32,8516, 2.6, 0.4
2024-05-05 17:30:32,8530, 2.5, 0.5
2024-05-05 17:30:32,8541, 2.5, 0.5
2024-05-05 17:30:32,8549, 2.5, 0.5
2024-05-05 17:30:32,8557, 2.6, 0.5
2024-05-05 17:30:32,33315, 3.0, 4.7
2024-05-05 17:30:32,8498, 2.2, 0.3
2024-05-05 17:30:32,8511, 2.7, 0.6
2024-05-05 17:30:32,8516, 2.6, 0.4
2024-05-05 17:30:32,8530, 2.5, 0.5
2024-05-05 17:30:32,8541, 2.5, 0.5
2024-05-05 17:30:32,8549, 2.5, 0.5
2024-05-05 17:30:32,8557, 2.6, 0.5
2024-05-05 17:30:32,33315, 3.0, 4.7
2024-05-05 17:30:32,8498, 2.2, 0.3
2024-05-05 17:30:32,8511, 2.7, 0.6
2024-05-05 17:30:32,8516, 2.6, 0.4
2024-05-05 17:30:32,8530, 2.5, 0.5
2024-05-05 17:30:32,8541, 2.5, 0.5
2024-05-05 17:30:32,8549, 2.5, 0.5
2024-05-05 17:30:32,8557, 2.6, 0.5
2024-05-05 17:30:32,33315, 3.0, 4.7
2024-05-05 17:30:32,8498, 2.2, 0.3
2024-05-05 17:30:32,8511, 2.7, 0.6
2024-05-05 17:30:32,8516, 2.6, 0.4
2024-05-05 17:30:32,8530, 2.5, 0.5
2024-05-05 17:30:32,8541, 2.5, 0.5
2024-05-05 17:30:32,8549, 2.5, 0.5
2024-05-05 17:30:32,8557, 2.6, 0.5
2024-05-05 17:30:32,33315, 3.0, 4.7
